x,y,T
0.020408,0.224490,0.992216
0.040816,0.224490,0.984224
0.061224,0.224490,0.975821
0.081633,0.224490,0.966810
0.102041,0.224490,0.957004
0.122449,0.224490,0.946228
0.142857,0.224490,0.934324
0.163265,0.224490,0.921153
0.183673,0.224490,0.906596
0.204082,0.224490,0.890556
0.224490,0.224490,0.872963
0.244898,0.224490,0.853769
0.265306,0.224490,0.832956
0.285714,0.224490,0.810529
0.306122,0.224490,0.786521
0.326531,0.224490,0.760993
0.346939,0.224490,0.734027
0.367347,0.224490,0.705732
0.387755,0.224490,0.676237
0.408163,0.224490,0.645691
0.428571,0.224490,0.614261
0.448980,0.224490,0.582127
0.469388,0.224490,0.549483
0.489796,0.224490,0.516529
0.510204,0.224490,0.483471
0.530612,0.224490,0.450517
0.551020,0.224490,0.417873
0.571429,0.224490,0.385739
0.591837,0.224490,0.354309
0.612245,0.224490,0.323763
0.632653,0.224490,0.294268
0.653061,0.224490,0.265973
0.673469,0.224490,0.239007
0.693878,0.224490,0.213479
0.714286,0.224490,0.189471
0.734694,0.224490,0.167044
0.755102,0.224490,0.146231
0.775510,0.224490,0.127037
0.795918,0.224490,0.109444
0.816327,0.224490,0.093404
0.836735,0.224490,0.078847
0.857143,0.224490,0.065676
0.877551,0.224490,0.053772
0.897959,0.224490,0.042996
0.918367,0.224490,0.033190
0.938776,0.224490,0.024179
0.959184,0.224490,0.015776
0.979592,0.224490,0.007784
1.000000,0.224490,0.000000
0.000000,0.244898,1.000000
0.020408,0.244898,0.992373
0.040816,0.244898,0.984536
0.061224,0.244898,0.976283
0.081633,0.244898,0.967414
0.102041,0.244898,0.957740
0.122449,0.244898,0.947084
0.142857,0.244898,0.935286
0.163265,0.244898,0.922205
0.183673,0.244898,0.907721
0.204082,0.244898,0.891736
0.224490,0.244898,0.874178
0.244898,0.244898,0.854999
0.265306,0.244898,0.834181
0.285714,0.244898,0.811728
0.306122,0.244898,0.787676
0.326531,0.244898,0.762084
0.346939,0.244898,0.735036
0.367347,0.244898,0.706643
0.387755,0.244898,0.677034
0.408163,0.244898,0.646362
0.428571,0.244898,0.614795
0.448980,0.244898,0.582515
0.469388,0.244898,0.549718
0.489796,0.244898,0.516608
0.510204,0.244898,0.483392
0.530612,0.244898,0.450282
0.551020,0.244898,0.417485
0.571429,0.244898,0.385205
0.591837,0.244898,0.353638
0.612245,0.244898,0.322966
0.632653,0.244898,0.293357
0.653061,0.244898,0.264964
0.673469,0.244898,0.237916
0.693878,0.244898,0.212324
0.714286,0.244898,0.188272
0.734694,0.244898,0.165819
0.755102,0.244898,0.145001
0.775510,0.244898,0.125822
0.795918,0.244898,0.108264
0.816327,0.244898,0.092279
0.836735,0.244898,0.077795
0.857143,0.244898,0.064714
0.877551,0.244898,0.052916
0.897959,0.244898,0.042260
0.918367,0.244898,0.032586
0.938776,0.244898,0.023717
0.959184,0.244898,0.015464
0.979592,0.244898,0.007627
1.000000,0.244898,0.000000
0.000000,0.265306,1.000000
0.020408,0.265306,0.992320
0.040816,0.265306,0.984432
0.061224,0.265306,0.976129
0.081633,0.265306,0.967212
0.102041,0.265306,0.957494
0.122449,0.265306,0.946798
0.142857,0.265306,0.934965
0.163265,0.265306,0.921854
0.183673,0.265306,0.907345
0.204082,0.265306,0.891342
0.224490,0.265306,0.873772
0.244898,0.265306,0.854589
0.265306,0.265306,0.833772
0.285714,0.265306,0.811328
0.306122,0.265306,0.787291
0.326531,0.265306,0.761720
0.346939,0.265306,0.734699
0.367347,0.265306,0.706339
0.387755,0.265306,0.676768
0.408163,0.265306,0.646138
0.428571,0.265306,0.614616
