x,time,dudx
0.040816,0.471000,-1.000140
0.061224,0.471000,-0.999960
0.081633,0.471000,-0.999953
0.102041,0.471000,-0.999942
0.122449,0.471000,-0.999961
0.142857,0.471000,-1.000199
0.163265,0.471000,-1.000096
0.183673,0.471000,-0.999827
0.204082,0.471000,-0.999729
0.224490,0.471000,-0.999875
0.244898,0.471000,-1.000148
0.265306,0.471000,-1.000417
0.285714,0.471000,-1.000610
0.306122,0.471000,-1.000712
0.326531,0.471000,-1.000740
0.346939,0.471000,-1.000720
0.367347,0.471000,-1.000671
0.387755,0.471000,-1.000609
0.408163,0.471000,-1.000541
0.428571,0.471000,-1.000472
0.448980,0.471000,-1.000403
0.469388,0.471000,-1.000337
0.489796,0.471000,-1.000274
0.510204,0.471000,-1.000212
0.530612,0.471000,-1.000154
0.551020,0.471000,-1.000098
0.571429,0.471000,-1.000044
0.591837,0.471000,-0.999993
0.612245,0.471000,-0.999945
0.632653,0.471000,-0.999899
0.653061,0.471000,-0.999855
0.673469,0.471000,-0.999814
0.693878,0.471000,-0.999776
0.714286,0.471000,-0.999740
0.734694,0.471000,-0.999706
0.755102,0.471000,-0.999675
0.775510,0.471000,-0.999647
0.795918,0.471000,-0.999621
0.816327,0.471000,-0.999597
0.836735,0.471000,-0.999576
0.857143,0.471000,-0.999558
0.877551,0.471000,-0.999541
0.897959,0.471000,-0.999528
0.918367,0.471000,-0.999517
0.938776,0.471000,-0.999508
0.959184,0.471000,-0.999502
0.979592,0.471000,-0.999498
0.020408,0.472000,-0.999995
0.040816,0.472000,-1.000140
0.061224,0.472000,-0.999960
0.081633,0.472000,-0.999953
0.102041,0.472000,-0.999942
0.122449,0.472000,-0.999961
0.142857,0.472000,-1.000199
0.163265,0.472000,-1.000096
0.183673,0.472000,-0.999827
0.204082,0.472000,-0.999729
0.224490,0.472000,-0.999875
0.244898,0.472000,-1.000148
0.265306,0.472000,-1.000417
0.285714,0.472000,-1.000610
0.306122,0.472000,-1.000712
0.326531,0.472000,-1.000740
0.346939,0.472000,-1.000720
0.367347,0.472000,-1.000671
0.387755,0.472000,-1.000609
0.408163,0.472000,-1.000541
0.428571,0.472000,-1.000472
0.448980,0.472000,-1.000403
0.469388,0.472000,-1.000337
0.489796,0.472000,-1.000274
